config_name,num_robots,seed,tasks_created,tasks_completed,tasks_failed,completion_rate,throughput_tps,avg_latency_s,p50_latency_s,p90_latency_s,p99_latency_s,agent_utilization,t_claim_ms_mean,t_claim_ms_p95,aoi_ms_mean,aoi_ms_p95
central_2robots,2,1,5,5,0,1.0,0.0136,97.43,91.27,118.56,128.09,0.3091,5.32,8.51,1.0,2.0
central_2robots,2,7,11,7,0,0.6364,0.019,112.15,81.02,197.26,243.37,0.4958,6.27,9.43,0.9,1.0
central_2robots,2,42,7,5,0,0.7143,0.0136,82.8,85.52,95.99,96.4,0.3091,4.35,7.61,0.9,2.0
central_4robots,4,1,9,9,0,1.0,0.0244,74.99,77.2,89.65,94.49,0.2775,6.29,10.72,1.2,2.0
central_4robots,4,7,13,13,0,1.0,0.0353,107.15,87.45,193.28,204.47,0.4023,4.51,8.96,1.2,2.0
central_4robots,4,42,12,11,0,0.9167,0.0299,105.85,91.17,157.48,216.68,0.3585,7.43,9.73,0.8,2.0
central_8robots,8,1,17,17,0,1.0,0.0462,83.76,79.2,103.23,106.27,0.2626,4.42,9.51,1.7,4.0
central_8robots,8,7,24,24,0,1.0,0.065,86.61,86.68,105.62,137.47,0.3698,3.99,8.61,1.8,4.0
central_8robots,8,42,22,22,0,1.0,0.0596,87.98,84.7,116.64,132.54,0.3394,4.76,9.16,1.6,4.0
central_16robots,16,1,28,28,0,1.0,0.0757,83.01,78.54,105.23,124.31,0.2167,5.23,10.72,3.5,8.0
central_16robots,16,7,45,45,0,1.0,0.122,81.28,75.08,105.28,129.6,0.3493,4.3,10.3,3.6,8.0
central_16robots,16,42,41,41,0,1.0,0.1111,78.17,77.18,100.68,131.45,0.318,5.06,10.49,3.4,8.0
