config_name,num_robots,seed,tasks_created,tasks_completed,tasks_failed,completion_rate,throughput_tps,avg_latency_s,p50_latency_s,p90_latency_s,p99_latency_s,agent_utilization,t_claim_ms_mean,t_claim_ms_p95,aoi_ms_mean,aoi_ms_p95
iso_2robots,2,1,5,5,0,1.0,0.0136,96.49,89.34,117.05,126.23,0.3097,3.74,4.76,1.0,1.0
iso_2robots,2,7,11,7,0,0.6364,0.019,112.12,81.0,197.23,243.35,0.4945,4.47,7.41,0.9,2.0
iso_2robots,2,42,7,5,0,0.7143,0.0136,83.64,87.57,97.43,97.49,0.3091,4.92,9.29,1.1,2.0
iso_4robots,4,1,9,9,0,1.0,0.0244,77.05,79.21,91.65,92.39,0.2777,4.47,7.02,1.4,2.0
iso_4robots,4,7,13,13,0,1.0,0.0353,107.16,83.16,190.59,207.2,0.4018,5.21,9.0,1.3,2.0
iso_4robots,4,42,12,11,0,0.9167,0.0299,108.46,97.44,155.75,223.03,0.3489,4.11,5.98,1.1,2.0
iso_8robots,8,1,17,17,0,1.0,0.0459,74.89,75.9,89.79,107.47,0.262,8.61,19.22,2.0,4.0
iso_8robots,8,7,24,24,0,1.0,0.065,89.26,87.56,106.95,166.08,0.3758,11.56,50.54,2.1,5.0
iso_8robots,8,42,22,22,0,1.0,0.0595,88.42,83.06,116.18,130.58,0.339,5.63,12.33,2.1,4.0
iso_16robots,16,1,28,27,0,0.9643,0.073,95.31,89.52,133.66,151.13,0.2161,9.6,15.01,3.9,9.0
iso_16robots,16,7,45,44,0,0.9778,0.1189,81.21,74.1,108.84,135.13,0.3476,7.99,14.67,3.4,8.0
iso_16robots,16,42,41,42,0,1.0244,0.1135,82.49,81.49,103.89,113.42,0.3261,8.14,14.72,3.4,8.0
