config_name,num_robots,seed,tasks_created,tasks_completed,tasks_failed,completion_rate,throughput_tps,avg_latency_s,p50_latency_s,p90_latency_s,p99_latency_s,agent_utilization,t_claim_ms_mean,t_claim_ms_p95,aoi_ms_mean,aoi_ms_p95
iso_2robots,2,1,5,5,0,1.0,0.0136,97.45,91.29,118.6,128.14,0.3097,6.04,9.28,0.8,2.0
iso_2robots,2,7,11,7,0,0.6364,0.019,112.08,80.96,197.18,243.31,0.4958,3.8,4.11,1.1,2.0
iso_2robots,2,42,7,5,0,0.7143,0.0136,83.69,87.66,97.47,97.53,0.3091,4.3,7.69,1.2,2.6
iso_4robots,4,1,9,9,0,1.0,0.0243,74.43,75.73,88.41,90.39,0.277,4.32,7.21,1.2,2.0
iso_4robots,4,7,13,13,0,1.0,0.0351,107.37,99.52,164.54,193.46,0.3996,4.97,7.48,1.3,2.0
iso_4robots,4,42,12,11,0,0.9167,0.0297,97.58,90.55,135.22,137.05,0.3675,4.93,9.03,1.0,2.0
iso_8robots,8,1,17,17,0,1.0,0.0459,76.23,79.41,88.99,97.52,0.262,6.48,9.08,1.8,4.0
iso_8robots,8,7,24,24,0,1.0,0.0649,85.81,84.64,106.25,123.71,0.3699,6.81,8.95,2.1,4.0
iso_8robots,8,42,22,21,0,0.9545,0.0569,91.99,88.92,113.31,144.69,0.3396,7.19,10.7,1.7,4.0
iso_16robots,16,1,19,8,0,0.4211,0.0217,73.75,72.05,93.27,99.15,0.1009,7210.21,62931.23,3.2,8.0
iso_16robots,16,7,16,3,0,0.1875,0.0081,69.6,69.17,74.38,75.55,0.0698,7049.9,102.89,3.1,8.0
iso_16robots,16,42,14,1,0,0.0714,0.0027,70.15,70.15,70.15,70.15,0.0701,5939.79,95.65,2.6,7.0
